,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Azerbaijan,781.0,,,4.0,,194.0,6.0,3.0,0.0,,18.0,9.0,0.0,0.0,0.0,18.0,,,,6.0,,12.0,23.0,24.0,16.0,7.0,,6.0,0.0,0.0,5.0,,22.0,,175.0,13.0,,12.0,,,25.0,0.0,,,,,67.0,,0.0,3.0,0.0,36.0,46.0,0.0,4.0,0.0,0
Bahamas,652.0,5.0,0.0,3.0,,12.0,,3.0,,0.0,410.0,46.0,0.0,0.0,,8.0,,,0.0,4.0,4.0,0.0,10.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,,0.0,18.0,,22.0,8.0,0.0,6.0,,,7.0,0.0,,6.0,0.0,8.0,27.0,0.0,,0.0,0.0,10.0,,0.0,,0.0,0
Bahrain,104.0,3.0,,,,12.0,,0.0,,,13.0,,0.0,0.0,,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,10.0,3.0,0.0,,3.0,,,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,,0.0,4.0,,,,0.0,0
Bangladesh,14819.0,29.0,7.0,75.0,17.0,848.0,16.0,246.0,47.0,24.0,636.0,394.0,0.0,5.0,6.0,150.0,37.0,7.0,38.0,6.0,31.0,0.0,230.0,227.0,807.0,54.0,15.0,39.0,,9.0,53.0,20.0,1038.0,7.0,7597.0,72.0,5.0,101.0,36.0,28.0,432.0,0.0,5.0,31.0,0.0,29.0,644.0,0.0,21.0,5.0,3.0,613.0,48.0,5.0,23.0,,0
Barbados,465.0,,0.0,,0.0,8.0,3.0,8.0,0.0,0.0,61.0,14.0,0.0,0.0,0.0,7.0,,,0.0,,,0.0,19.0,31.0,,,4.0,,0.0,0.0,,0.0,15.0,0.0,238.0,8.0,0.0,,,0.0,12.0,,,0.0,0.0,,8.0,0.0,,0.0,,3.0,,0.0,,0.0,0
Belarus,2038.0,7.0,10.0,6.0,,228.0,45.0,43.0,16.0,11.0,101.0,39.0,0.0,5.0,3.0,120.0,17.0,4.0,,6.0,0.0,,39.0,111.0,18.0,93.0,3.0,17.0,,5.0,14.0,6.0,117.0,0.0,490.0,37.0,,32.0,6.0,18.0,153.0,0.0,5.0,16.0,,7.0,43.0,,0.0,7.0,0.0,38.0,63.0,0.0,28.0,,0
Belgium,592.0,,,15.0,3.0,80.0,9.0,8.0,0.0,3.0,41.0,23.0,0.0,,0.0,27.0,9.0,,,,7.0,4.0,19.0,11.0,25.0,6.0,0.0,3.0,0.0,0.0,5.0,4.0,31.0,,98.0,17.0,0.0,16.0,6.0,7.0,14.0,0.0,4.0,,,6.0,38.0,0.0,0.0,,3.0,13.0,13.0,3.0,4.0,0.0,0
Belize,965.0,,0.0,8.0,3.0,351.0,,,0.0,,67.0,21.0,0.0,0.0,0.0,91.0,0.0,,,3.0,13.0,0.0,12.0,4.0,7.0,0.0,8.0,3.0,0.0,0.0,21.0,0.0,14.0,,124.0,16.0,0.0,3.0,8.0,5.0,16.0,0.0,0.0,7.0,,21.0,92.0,0.0,0.0,3.0,0.0,16.0,6.0,,4.0,4.0,0
Benin,486.0,3.0,,7.0,,13.0,19.0,6.0,,4.0,13.0,21.0,0.0,0.0,,46.0,24.0,7.0,,,,0.0,74.0,6.0,,7.0,0.0,4.0,,20.0,8.0,5.0,6.0,,49.0,20.0,0.0,4.0,,,38.0,0.0,,3.0,0.0,,24.0,0.0,,0.0,0.0,28.0,6.0,0.0,,0.0,0
Bermuda,72.0,,0.0,,0.0,4.0,0.0,0.0,,0.0,15.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,,,0.0,,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
