,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Soviet Union, former",1296.0,3.0,,10.0,4.0,223.0,17.0,14.0,,3.0,136.0,19.0,0.0,4.0,3.0,43.0,0.0,7.0,3.0,,10.0,3.0,31.0,52.0,11.0,7.0,3.0,5.0,,6.0,13.0,5.0,53.0,,358.0,17.0,0.0,17.0,3.0,16.0,41.0,,,5.0,0.0,13.0,33.0,0.0,0.0,5.0,4.0,24.0,53.0,,3.0,
Spain,1842.0,3.0,,9.0,4.0,293.0,27.0,20.0,,24.0,455.0,27.0,0.0,,8.0,49.0,11.0,11.0,7.0,14.0,4.0,,29.0,70.0,20.0,11.0,,10.0,,6.0,17.0,8.0,73.0,3.0,240.0,17.0,,14.0,4.0,11.0,38.0,36.0,11.0,15.0,,5.0,123.0,0.0,0.0,15.0,3.0,34.0,40.0,,8.0,0.0
Sri Lanka,1994.0,4.0,0.0,11.0,,455.0,5.0,32.0,8.0,12.0,53.0,58.0,0.0,0.0,,59.0,13.0,5.0,19.0,12.0,6.0,3.0,118.0,49.0,25.0,25.0,,4.0,,13.0,25.0,,147.0,0.0,439.0,17.0,4.0,41.0,8.0,5.0,36.0,0.0,3.0,4.0,,14.0,150.0,0.0,,4.0,0.0,50.0,34.0,,11.0,0.0
Sudan,2471.0,23.0,4.0,59.0,0.0,121.0,89.0,21.0,,11.0,57.0,62.0,0.0,0.0,4.0,96.0,38.0,87.0,5.0,15.0,,27.0,75.0,43.0,61.0,63.0,9.0,52.0,0.0,144.0,6.0,25.0,44.0,,234.0,117.0,21.0,45.0,9.0,4.0,120.0,0.0,,,53.0,41.0,188.0,0.0,0.0,34.0,,281.0,47.0,,25.0,0.0
Suriname,187.0,0.0,0.0,,0.0,9.0,0.0,,,0.0,33.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,100.0,5.0,0.0,4.0,,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Swaziland,24.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,968.0,,5.0,17.0,,248.0,20.0,18.0,0.0,9.0,90.0,17.0,0.0,5.0,,18.0,10.0,,6.0,,,,16.0,34.0,8.0,8.0,0.0,7.0,,0.0,0.0,3.0,33.0,6.0,136.0,21.0,3.0,13.0,4.0,16.0,28.0,,,,0.0,3.0,73.0,0.0,0.0,11.0,0.0,19.0,39.0,0.0,8.0,
Switzerland,635.0,,6.0,13.0,,136.0,5.0,23.0,,3.0,65.0,7.0,0.0,10.0,3.0,8.0,7.0,,0.0,,3.0,,9.0,19.0,17.0,7.0,,,,,4.0,,36.0,5.0,116.0,15.0,0.0,5.0,0.0,7.0,20.0,0.0,3.0,4.0,0.0,4.0,23.0,0.0,0.0,5.0,0.0,11.0,19.0,,,0.0
Syria,3014.0,15.0,,64.0,8.0,813.0,23.0,21.0,3.0,4.0,197.0,35.0,0.0,0.0,3.0,298.0,17.0,5.0,19.0,18.0,8.0,6.0,24.0,80.0,219.0,23.0,5.0,27.0,0.0,,14.0,10.0,191.0,6.0,157.0,42.0,,83.0,23.0,26.0,151.0,0.0,34.0,5.0,0.0,22.0,160.0,0.0,0.0,9.0,,85.0,32.0,5.0,18.0,0.0
Taiwan,5331.0,24.0,5.0,51.0,9.0,2409.0,42.0,37.0,10.0,10.0,125.0,65.0,8.0,39.0,13.0,121.0,54.0,6.0,16.0,18.0,13.0,4.0,105.0,135.0,64.0,38.0,6.0,54.0,,5.0,37.0,5.0,172.0,10.0,486.0,79.0,,68.0,26.0,47.0,86.0,,3.0,6.0,5.0,17.0,383.0,0.0,0.0,33.0,,111.0,231.0,6.0,27.0,
