,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Chile,1527.0,11.0,3.0,23.0,6.0,219.0,27.0,23.0,8.0,6.0,385.0,25.0,0.0,3.0,6.0,35.0,6.0,6.0,3.0,,7.0,,32.0,44.0,4.0,10.0,,8.0,0.0,10.0,18.0,0.0,93.0,7.0,154.0,34.0,0.0,14.0,5.0,15.0,27.0,7.0,,20.0,,10.0,62.0,,,38.0,,40.0,42.0,0.0,8.0,0.0,13
"China, People's Republic",32864.0,132.0,28.0,251.0,49.0,10619.0,251.0,340.0,64.0,20.0,840.0,536.0,34.0,258.0,42.0,1079.0,173.0,65.0,91.0,88.0,107.0,31.0,670.0,1508.0,319.0,281.0,54.0,161.0,14.0,48.0,401.0,49.0,941.0,48.0,7329.0,404.0,10.0,393.0,116.0,336.0,1013.0,19.0,65.0,137.0,16.0,204.0,1447.0,30.0,6.0,94.0,15.0,439.0,840.0,23.0,149.0,6.0,181
Colombia,22693.0,54.0,19.0,131.0,16.0,1031.0,134.0,360.0,23.0,17.0,10883.0,796.0,,15.0,17.0,360.0,56.0,18.0,42.0,59.0,59.0,11.0,230.0,598.0,62.0,66.0,29.0,64.0,8.0,20.0,122.0,51.0,1710.0,25.0,2107.0,548.0,4.0,105.0,54.0,24.0,281.0,107.0,158.0,293.0,,116.0,1059.0,41.0,4.0,83.0,6.0,259.0,118.0,12.0,47.0,4.0,172
Comoros,8.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
"Congo, Democratic Republic",908.0,3.0,0.0,8.0,,48.0,37.0,19.0,,0.0,28.0,57.0,0.0,,,46.0,5.0,6.0,,11.0,,14.0,69.0,48.0,13.0,17.0,,16.0,0.0,5.0,,10.0,9.0,,57.0,102.0,0.0,19.0,,4.0,15.0,0.0,,5.0,3.0,12.0,132.0,,,7.0,5.0,28.0,15.0,,6.0,0.0,10
"Congo, Republic",345.0,3.0,,6.0,0.0,31.0,8.0,5.0,0.0,3.0,9.0,18.0,0.0,0.0,0.0,23.0,3.0,,0.0,3.0,,3.0,25.0,11.0,5.0,5.0,,4.0,0.0,,4.0,0.0,7.0,,41.0,23.0,,10.0,0.0,,10.0,0.0,0.0,,0.0,7.0,31.0,0.0,0.0,,5.0,10.0,8.0,0.0,,0.0,8
Costa Rica,1511.0,8.0,0.0,17.0,4.0,173.0,13.0,31.0,3.0,3.0,374.0,37.0,0.0,7.0,3.0,36.0,5.0,3.0,5.0,,9.0,,35.0,34.0,15.0,11.0,5.0,3.0,,0.0,20.0,,207.0,8.0,90.0,63.0,,13.0,9.0,8.0,36.0,12.0,5.0,28.0,,21.0,69.0,4.0,0.0,8.0,,22.0,15.0,0.0,15.0,0.0,16
Cote d'Ivoire,694.0,6.0,0.0,6.0,,35.0,13.0,14.0,5.0,,14.0,55.0,0.0,0.0,0.0,18.0,9.0,5.0,,,,,82.0,29.0,10.0,9.0,,6.0,0.0,,,0.0,31.0,0.0,152.0,18.0,0.0,21.0,,4.0,28.0,0.0,,5.0,0.0,7.0,44.0,,,,,18.0,14.0,0.0,8.0,0.0,6
Croatia,569.0,,0.0,14.0,0.0,38.0,8.0,7.0,4.0,,51.0,19.0,0.0,,4.0,48.0,18.0,6.0,0.0,,5.0,6.0,3.0,22.0,12.0,8.0,,10.0,,0.0,14.0,5.0,24.0,0.0,57.0,11.0,4.0,44.0,0.0,3.0,18.0,0.0,0.0,3.0,6.0,5.0,23.0,0.0,0.0,7.0,,11.0,14.0,,18.0,0.0,7
Cuba,21071.0,17.0,,101.0,4.0,283.0,21.0,27.0,3.0,,18029.0,108.0,0.0,4.0,3.0,77.0,9.0,3.0,8.0,162.0,48.0,,26.0,44.0,55.0,13.0,12.0,26.0,0.0,12.0,265.0,,407.0,48.0,261.0,80.0,0.0,25.0,15.0,65.0,93.0,108.0,5.0,31.0,,39.0,309.0,10.0,,26.0,0.0,47.0,22.0,0.0,16.0,0.0,97
Cyprus,115.0,0.0,0.0,4.0,0.0,19.0,,4.0,0.0,,9.0,,0.0,0.0,0.0,5.0,,0.0,,,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,,23.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,,,6.0,3.0,0.0,0.0,0.0,0
Czech Republic,485.0,7.0,5.0,5.0,3.0,66.0,18.0,4.0,,,105.0,15.0,0.0,0.0,,32.0,,,,3.0,0.0,,13.0,15.0,4.0,3.0,,,,,9.0,4.0,21.0,,25.0,12.0,0.0,7.0,,7.0,11.0,0.0,0.0,9.0,0.0,4.0,18.0,,0.0,5.0,0.0,10.0,14.0,0.0,8.0,,3
"Czechoslovakia, former",310.0,4.0,3.0,5.0,0.0,42.0,12.0,4.0,,,48.0,6.0,0.0,5.0,0.0,23.0,,0.0,0.0,,,,4.0,8.0,7.0,,,4.0,,0.0,3.0,,16.0,,16.0,6.0,0.0,4.0,,5.0,8.0,0.0,,,,3.0,15.0,4.0,0.0,8.0,,4.0,12.0,3.0,,0.0,3
Denmark,124.0,0.0,0.0,6.0,0.0,36.0,3.0,,0.0,0.0,11.0,,0.0,,,3.0,,0.0,,,0.0,0.0,8.0,4.0,3.0,,,,,,,0.0,5.0,,5.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,,0.0,3.0,5.0,0.0,0.0,0.0,0
Djibouti,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Dominica,594.0,,6.0,4.0,,9.0,,15.0,,0.0,94.0,21.0,0.0,,0.0,8.0,,0.0,,0.0,,0.0,10.0,27.0,,,0.0,,0.0,0.0,0.0,0.0,37.0,,120.0,5.0,0.0,,,0.0,6.0,4.0,0.0,6.0,0.0,4.0,41.0,,135.0,0.0,0.0,4.0,4.0,,0.0,0.0,13
Dominican Republic,20508.0,20.0,34.0,30.0,5.0,75.0,16.0,288.0,36.0,17.0,2285.0,145.0,0.0,6.0,3.0,64.0,41.0,8.0,12.0,21.0,71.0,4.0,145.0,1913.0,42.0,13.0,9.0,14.0,,,18.0,79.0,2802.0,,8684.0,176.0,0.0,84.0,23.0,7.0,1013.0,1052.0,603.0,49.0,,23.0,109.0,23.0,122.0,28.0,,96.0,26.0,3.0,41.0,0.0,121
