,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
United Kingdom,8087,15.0,19.0,150.0,27.0,1887.0,163.0,207.0,22.0,12.0,784.0,191.0,45.0,24.0,199.0,44.0,,35.0,22.0,25.0,31.0,189.0,351.0,178.0,79.0,16.0,56.0,7.0,14.0,72.0,44.0,319.0,33.0,663.0,142.0,4.0,201.0,35.0,113.0,239.0,26.0,35.0,5.0,86.0,514.0,48.0,24.0,305.0,232.0,11.0,46.0,,8.0,86
Uruguay,475,0.0,,3.0,0.0,65.0,,11.0,,0.0,88.0,11.0,,,,,0.0,0.0,,0.0,0.0,8.0,17.0,,0.0,0.0,0.0,0.0,0.0,5.0,,100.0,0.0,74.0,,0.0,7.0,,,4.0,,,0.0,,15.0,9.0,,20.0,5.0,0.0,0.0,,5.0,2
Uzbekistan,1588,,0.0,18.0,0.0,193.0,14.0,3.0,0.0,,24.0,9.0,,,23.0,,0.0,5.0,,0.0,0.0,23.0,24.0,8.0,5.0,,3.0,0.0,0.0,,,33.0,3.0,984.0,5.0,,34.0,,20.0,28.0,,0.0,0.0,4.0,31.0,,0.0,13.0,32.0,0.0,17.0,0.0,0.0,17
Venezuela,2659,4.0,5.0,9.0,4.0,233.0,17.0,37.0,4.0,9.0,899.0,53.0,8.0,,49.0,10.0,0.0,4.0,13.0,16.0,0.0,30.0,92.0,28.0,8.0,7.0,9.0,0.0,4.0,14.0,11.0,132.0,,254.0,49.0,0.0,34.0,18.0,7.0,67.0,23.0,11.0,0.0,21.0,213.0,38.0,3.0,80.0,21.0,8.0,9.0,,58.0,31
Vietnam,32926,61.0,18.0,312.0,81.0,14234.0,489.0,185.0,10.0,33.0,938.0,689.0,235.0,40.0,625.0,120.0,54.0,232.0,130.0,309.0,41.0,362.0,1622.0,351.0,552.0,49.0,250.0,,236.0,144.0,41.0,298.0,83.0,517.0,371.0,9.0,345.0,249.0,524.0,912.0,16.0,46.0,18.0,257.0,3452.0,224.0,24.0,1003.0,1678.0,10.0,82.0,,16.0,344
Yemen,814,,0.0,3.0,,166.0,0.0,13.0,,0.0,,0.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,,3.0,,246.0,,,0.0,0.0,0.0,,0.0,6.0,3.0,245.0,14.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,17.0,8.0,0.0,,0.0,0.0,9
Zambia,159,,0.0,3.0,,31.0,,0.0,0.0,,8.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,,0.0,,3.0,8.0,6.0,,3.0,0.0,0.0,,0.0,9.0,0.0,,4.0,0.0,5.0,3.0,3.0,5.0,,0.0,0.0,5.0,13.0,0.0,0.0,9.0,,0.0,,0.0,0.0,3
Zimbabwe,260,3.0,,3.0,0.0,46.0,6.0,5.0,0.0,0.0,25.0,7.0,,0.0,8.0,,,,3.0,,,4.0,13.0,5.0,,0.0,3.0,0.0,3.0,4.0,,8.0,,15.0,6.0,0.0,15.0,,5.0,11.0,,0.0,0.0,6.0,19.0,0.0,0.0,10.0,5.0,0.0,,0.0,,3
Other,707,0.0,1.0,10.0,2.0,95.0,8.0,11.0,1.0,3.0,66.0,23.0,17.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,3.0,27.0,25.0,6.0,9.0,2.0,4.0,0.0,1.0,5.0,2.0,30.0,0.0,97.0,6.0,0.0,17.0,0.0,2.0,17.0,2.0,2.0,0.0,7.0,41.0,15.0,3.0,34.0,19.0,0.0,4.0,0.0,37.0,36
Unknown,1270,0.0,2.0,6.0,5.0,204.0,30.0,1.0,1.0,0.0,59.0,13.0,5.0,7.0,150.0,14.0,0.0,16.0,7.0,10.0,0.0,8.0,16.0,39.0,17.0,2.0,8.0,2.0,6.0,11.0,1.0,26.0,2.0,71.0,14.0,0.0,80.0,10.0,13.0,6.0,1.0,3.0,0.0,7.0,129.0,18.0,0.0,42.0,38.0,0.0,25.0,0.0,7.0,138
