,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Malta,86.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,4.0,11.0,0.0,0.0,,0.0,0.0,,,,0.0,46.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0
Marshall Islands,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Martinique,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mauritania,106.0,0.0,0.0,,0.0,4.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,,0.0,0.0,7.0,0.0,0.0,6.0,,3.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,26.0,,0.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,,5.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1
Mauritius,65.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,5.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0
Mexico,83979.0,138.0,54.0,4048.0,362.0,38210.0,1338.0,104.0,64.0,17.0,2284.0,1246.0,178.0,312.0,6675.0,636.0,214.0,695.0,129.0,68.0,11.0,201.0,120.0,426.0,379.0,53.0,329.0,19.0,539.0,2188.0,48.0,476.0,726.0,1113.0,1136.0,13.0,226.0,529.0,673.0,326.0,37.0,173.0,19.0,229.0,12796.0,0.0,66.0,598.0,8.0,507.0,1318.0,18.0,438.0,43.0,1426
"Micronesia, Federated States",41.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,14.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,,3.0,0.0,0.0,0.0,1
Moldova,988.0,6.0,0.0,4.0,0.0,208.0,9.0,3.0,0.0,,28.0,42.0,,,18.0,5.0,0.0,,3.0,0.0,0.0,11.0,57.0,6.0,36.0,,9.0,,0.0,7.0,,34.0,0.0,212.0,31.0,0.0,12.0,3.0,16.0,47.0,,0.0,0.0,9.0,12.0,0.0,,6.0,,17.0,114.0,0.0,,,7
Mongolia,60.0,0.0,0.0,0.0,0.0,18.0,4.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,3.0,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,,7.0,3.0,0.0,,0.0,0
Montserrat,96.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,2
