,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Israel,3466.0,8.0,,43.0,,927.0,21.0,27.0,,12.0,391.0,65.0,0.0,4.0,,114.0,8.0,5.0,5.0,7.0,13.0,0.0,73.0,112.0,36.0,17.0,4.0,24.0,0.0,4.0,72.0,3.0,232.0,5.0,699.0,44.0,0.0,64.0,5.0,8.0,65.0,0.0,10.0,17.0,0.0,18.0,168.0,,,6.0,,48.0,39.0,3.0,19.0,,11.0
Italy,2355.0,7.0,,33.0,,343.0,17.0,51.0,5.0,12.0,266.0,41.0,3.0,10.0,3.0,81.0,7.0,7.0,,3.0,8.0,5.0,47.0,91.0,65.0,16.0,,15.0,,,25.0,11.0,201.0,4.0,534.0,38.0,,32.0,4.0,18.0,96.0,4.0,8.0,15.0,,9.0,71.0,0.0,,11.0,3.0,66.0,32.0,,12.0,,12.0
Jamaica,16442.0,22.0,3.0,51.0,4.0,265.0,28.0,743.0,64.0,41.0,4607.0,846.0,0.0,12.0,,244.0,19.0,,11.0,20.0,25.0,13.0,470.0,385.0,86.0,30.0,27.0,47.0,,0.0,22.0,22.0,978.0,3.0,5688.0,167.0,0.0,103.0,60.0,9.0,486.0,,17.0,189.0,0.0,20.0,242.0,20.0,5.0,6.0,6.0,215.0,38.0,6.0,31.0,0.0,40.0
Japan,1837.0,6.0,5.0,22.0,3.0,646.0,12.0,12.0,,6.0,56.0,39.0,8.0,168.0,,63.0,8.0,7.0,8.0,10.0,4.0,3.0,34.0,32.0,22.0,15.0,0.0,9.0,4.0,4.0,26.0,4.0,71.0,7.0,183.0,21.0,0.0,22.0,8.0,24.0,16.0,,,12.0,,9.0,55.0,3.0,,16.0,,51.0,76.0,0.0,8.0,0.0,8.0
Jordan,2816.0,16.0,0.0,42.0,11.0,464.0,18.0,15.0,3.0,,183.0,35.0,0.0,,,322.0,32.0,7.0,5.0,43.0,62.0,,26.0,41.0,131.0,28.0,4.0,38.0,0.0,6.0,15.0,7.0,180.0,10.0,168.0,76.0,0.0,166.0,18.0,8.0,85.0,14.0,,16.0,0.0,56.0,258.0,0.0,8.0,8.0,0.0,103.0,29.0,4.0,35.0,0.0,13.0
Kazakhstan,909.0,,,14.0,0.0,144.0,15.0,8.0,0.0,,57.0,19.0,0.0,,3.0,32.0,7.0,3.0,10.0,,,8.0,17.0,32.0,10.0,21.0,,4.0,0.0,,4.0,,37.0,,136.0,14.0,0.0,18.0,4.0,37.0,37.0,0.0,,14.0,0.0,6.0,38.0,0.0,0.0,3.0,0.0,38.0,84.0,,9.0,0.0,7.0
Kenya,4257.0,20.0,8.0,100.0,8.0,406.0,28.0,25.0,66.0,13.0,98.0,298.0,0.0,3.0,7.0,89.0,72.0,24.0,99.0,25.0,6.0,20.0,186.0,268.0,38.0,290.0,7.0,106.0,,18.0,29.0,35.0,195.0,4.0,95.0,138.0,8.0,120.0,75.0,25.0,124.0,0.0,11.0,69.0,4.0,40.0,516.0,,0.0,7.0,5.0,139.0,245.0,4.0,21.0,,14.0
Kiribati,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
"Korea, North",27.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
"Korea, South",15786.0,53.0,47.0,121.0,21.0,5205.0,156.0,76.0,16.0,18.0,239.0,790.0,47.0,205.0,18.0,620.0,63.0,27.0,46.0,34.0,27.0,4.0,598.0,191.0,186.0,56.0,10.0,74.0,4.0,18.0,115.0,22.0,1267.0,10.0,1620.0,219.0,4.0,130.0,71.0,90.0,399.0,,17.0,109.0,,101.0,772.0,12.0,,22.0,3.0,1070.0,610.0,10.0,45.0,5.0,88.0
